#,gender,belt,max_weight,division_age,division_name,public name
1,Female,White,16,5,kg,[001] Female / kg / White / 16Kg
2,Female,White,18,5,Kids 1,[002] Female / Kids 1 / White / 18Kg
3,Female,White,21,5,Kids 1,[003] Female / Kids 1 / White / 21Kg
4,Female,White,24,5,Kids 1,[004] Female / Kids 1 / White / 24Kg
5,Female,White,28,5,Kids 1,[005] Female / Kids 1 / White / 28Kg
6,Female,White,32,5,Kids 1,[006] Female / Kids 1 / White / 32Kg
7,Female,White,36,5,Kids 1,[007] Female / Kids 1 / White / 36Kg
8,Female,White,44,5,Kids 1,[008] Female / Kids 1 / White / 44Kg
9,Female,Grey,16,5,Kids 1,[009] Female / Kids 1 / Grey / 16Kg
10,Female,Grey,18,5,Kids 1,[010] Female / Kids 1 / Grey / 18Kg
11,Female,Grey,21,5,Kids 1,[011] Female / Kids 1 / Grey / 21Kg
12,Female,Grey,24,5,Kids 1,[012] Female / Kids 1 / Grey / 24Kg
13,Female,Grey,28,5,Kids 1,[013] Female / Kids 1 / Grey / 28Kg
14,Female,Grey,32,5,Kids 1,[014] Female / Kids 1 / Grey / 32Kg
15,Female,Grey,36,5,Kids 1,[015] Female / Kids 1 / Grey / 36Kg
16,Female,Grey,44,5,Kids 1,[016] Female / Kids 1 / Grey / 44Kg
17,Female,White,17,7,Kids 2,[017] Female / Kids 2 / White / 17Kg
18,Female,White,19,7,Kids 2,[018] Female / Kids 2 / White / 19Kg
19,Female,White,22,7,Kids 2,[019] Female / Kids 2 / White / 22Kg
20,Female,White,25,7,Kids 2,[020] Female / Kids 2 / White / 25Kg
21,Female,White,29,7,Kids 2,[021] Female / Kids 2 / White / 29Kg
22,Female,White,33,7,Kids 2,[022] Female / Kids 2 / White / 33Kg
23,Female,White,37,7,Kids 2,[023] Female / Kids 2 / White / 37Kg
24,Female,White,44,7,Kids 2,[024] Female / Kids 2 / White / 44Kg
25,Female,Grey,17,7,Kids 2,[025] Female / Kids 2 / Grey / 17Kg
26,Female,Grey,19,7,Kids 2,[026] Female / Kids 2 / Grey / 19Kg
27,Female,Grey,22,7,Kids 2,[027] Female / Kids 2 / Grey / 22Kg
28,Female,Grey,25,7,Kids 2,[028] Female / Kids 2 / Grey / 25Kg
29,Female,Grey,29,7,Kids 2,[029] Female / Kids 2 / Grey / 29Kg
30,Female,Grey,33,7,Kids 2,[030] Female / Kids 2 / Grey / 33Kg
31,Female,Grey,37,7,Kids 2,[031] Female / Kids 2 / Grey / 37Kg
32,Female,Grey,44,7,Kids 2,[032] Female / Kids 2 / Grey / 44Kg
33,Female,Yellow,17,7,Kids 2,[033] Female / Kids 2 / Yellow / 17Kg
34,Female,Yellow,19,7,Kids 2,[034] Female / Kids 2 / Yellow / 19Kg
35,Female,Yellow,22,7,Kids 2,[035] Female / Kids 2 / Yellow / 22Kg
36,Female,Yellow,25,7,Kids 2,[036] Female / Kids 2 / Yellow / 25Kg
37,Female,Yellow,29,7,Kids 2,[037] Female / Kids 2 / Yellow / 29Kg
38,Female,Yellow,33,7,Kids 2,[038] Female / Kids 2 / Yellow / 33Kg
39,Female,Yellow,37,7,Kids 2,[039] Female / Kids 2 / Yellow / 37Kg
40,Female,Yellow,44,7,Kids 2,[040] Female / Kids 2 / Yellow / 44Kg
41,Female,White,20,9,Kids 3,[041] Female / Kids 3 / White / 20Kg
42,Female,White,22,9,Kids 3,[042] Female / Kids 3 / White / 22Kg
43,Female,White,25,9,Kids 3,[043] Female / Kids 3 / White / 25Kg
44,Female,White,28,9,Kids 3,[044] Female / Kids 3 / White / 28Kg
45,Female,White,32,9,Kids 3,[045] Female / Kids 3 / White / 32Kg
46,Female,White,36,9,Kids 3,[046] Female / Kids 3 / White / 36Kg
47,Female,White,40,9,Kids 3,[047] Female / Kids 3 / White / 40Kg
48,Female,White,48,9,Kids 3,[048] Female / Kids 3 / White / 48Kg
49,Female,Grey,20,9,Kids 3,[049] Female / Kids 3 / Grey / 20Kg
50,Female,Grey,22,9,Kids 3,[050] Female / Kids 3 / Grey / 22Kg
51,Female,Grey,25,9,Kids 3,[051] Female / Kids 3 / Grey / 25Kg
52,Female,Grey,28,9,Kids 3,[052] Female / Kids 3 / Grey / 28Kg
53,Female,Grey,32,9,Kids 3,[053] Female / Kids 3 / Grey / 32Kg
54,Female,Grey,36,9,Kids 3,[054] Female / Kids 3 / Grey / 36Kg
55,Female,Grey,40,9,Kids 3,[055] Female / Kids 3 / Grey / 40Kg
56,Female,Grey,48,9,Kids 3,[056] Female / Kids 3 / Grey / 48Kg
57,Female,Yellow,20,9,Kids 3,[057] Female / Kids 3 / Yellow / 20Kg
58,Female,Yellow,22,9,Kids 3,[058] Female / Kids 3 / Yellow / 22Kg
59,Female,Yellow,25,9,Kids 3,[059] Female / Kids 3 / Yellow / 25Kg
60,Female,Yellow,28,9,Kids 3,[060] Female / Kids 3 / Yellow / 28Kg
61,Female,Yellow,32,9,Kids 3,[061] Female / Kids 3 / Yellow / 32Kg
62,Female,Yellow,36,9,Kids 3,[062] Female / Kids 3 / Yellow / 36Kg
63,Female,Yellow,40,9,Kids 3,[063] Female / Kids 3 / Yellow / 40Kg
64,Female,Yellow,48,9,Kids 3,[064] Female / Kids 3 / Yellow / 48Kg
65,Female,White,22,11,Infant,[065] Female / Infant / White / 22Kg
66,Female,White,25,11,Infant,[066] Female / Infant / White / 25Kg
67,Female,White,28,11,Infant,[067] Female / Infant / White / 28Kg
68,Female,White,32,11,Infant,[068] Female / Infant / White / 32Kg
69,Female,White,36,11,Infant,[069] Female / Infant / White / 36Kg
70,Female,White,40,11,Infant,[070] Female / Infant / White / 40Kg
71,Female,White,44,11,Infant,[071] Female / Infant / White / 44Kg
72,Female,White,48,11,Infant,[072] Female / Infant / White / 48Kg
73,Female,White,60,11,Infant,[073] Female / Infant / White / 60Kg
74,Female,Grey,22,11,Infant,[074] Female / Infant / Grey / 22Kg
75,Female,Grey,25,11,Infant,[075] Female / Infant / Grey / 25Kg
76,Female,Grey,28,11,Infant,[076] Female / Infant / Grey / 28Kg
77,Female,Grey,32,11,Infant,[077] Female / Infant / Grey / 32Kg
78,Female,Grey,36,11,Infant,[078] Female / Infant / Grey / 36Kg
79,Female,Grey,40,11,Infant,[079] Female / Infant / Grey / 40Kg
80,Female,Grey,44,11,Infant,[080] Female / Infant / Grey / 44Kg
81,Female,Grey,48,11,Infant,[081] Female / Infant / Grey / 48Kg
82,Female,Grey,60,11,Infant,[082] Female / Infant / Grey / 60Kg
83,Female,Yellow,22,11,Infant,[083] Female / Infant / Yellow / 22Kg
84,Female,Yellow,25,11,Infant,[084] Female / Infant / Yellow / 25Kg
85,Female,Yellow,28,11,Infant,[085] Female / Infant / Yellow / 28Kg
86,Female,Yellow,32,11,Infant,[086] Female / Infant / Yellow / 32Kg
87,Female,Yellow,36,11,Infant,[087] Female / Infant / Yellow / 36Kg
88,Female,Yellow,40,11,Infant,[088] Female / Infant / Yellow / 40Kg
89,Female,Yellow,44,11,Infant,[089] Female / Infant / Yellow / 44Kg
90,Female,Yellow,48,11,Infant,[090] Female / Infant / Yellow / 48Kg
91,Female,Yellow,60,11,Infant,[091] Female / Infant / Yellow / 60Kg
92,Female,Orange,22,11,Infant,[092] Female / Infant / Orange / 22Kg
93,Female,Orange,25,11,Infant,[093] Female / Infant / Orange / 25Kg
94,Female,Orange,28,11,Infant,[094] Female / Infant / Orange / 28Kg
95,Female,Orange,32,11,Infant,[095] Female / Infant / Orange / 32Kg
96,Female,Orange,36,11,Infant,[096] Female / Infant / Orange / 36Kg
97,Female,Orange,40,11,Infant,[097] Female / Infant / Orange / 40Kg
98,Female,Orange,44,11,Infant,[098] Female / Infant / Orange / 44Kg
99,Female,Orange,48,11,Infant,[099] Female / Infant / Orange / 48Kg
100,Female,Orange,60,11,Infant,[100] Female / Infant / Orange / 60Kg
101,Female,White,32,13,Junior,[101] Female / Junior / White / 32Kg
102,Female,White,36,13,Junior,[102] Female / Junior / White / 36Kg
103,Female,White,40,13,Junior,[103] Female / Junior / White / 40Kg
104,Female,White,44,13,Junior,[104] Female / Junior / White / 44Kg
105,Female,White,48,13,Junior,[105] Female / Junior / White / 48Kg
106,Female,White,52,13,Junior,[106] Female / Junior / White / 52Kg
107,Female,White,57,13,Junior,[107] Female / Junior / White / 57Kg
108,Female,White,63,13,Junior,[108] Female / Junior / White / 63Kg
109,Female,White,75,13,Junior,[109] Female / Junior / White / 75Kg
110,Female,Grey,32,13,Junior,[110] Female / Junior / Grey / 32Kg
111,Female,Grey,36,13,Junior,[111] Female / Junior / Grey / 36Kg
112,Female,Grey,40,13,Junior,[112] Female / Junior / Grey / 40Kg
113,Female,Grey,44,13,Junior,[113] Female / Junior / Grey / 44Kg
114,Female,Grey,48,13,Junior,[114] Female / Junior / Grey / 48Kg
115,Female,Grey,52,13,Junior,[115] Female / Junior / Grey / 52Kg
116,Female,Grey,57,13,Junior,[116] Female / Junior / Grey / 57Kg
117,Female,Grey,63,13,Junior,[117] Female / Junior / Grey / 63Kg
118,Female,Grey,75,13,Junior,[118] Female / Junior / Grey / 75Kg
119,Female,Yellow,32,13,Junior,[119] Female / Junior / Yellow / 32Kg
120,Female,Yellow,36,13,Junior,[120] Female / Junior / Yellow / 36Kg
121,Female,Yellow,40,13,Junior,[121] Female / Junior / Yellow / 40Kg
122,Female,Yellow,44,13,Junior,[122] Female / Junior / Yellow / 44Kg
123,Female,Yellow,48,13,Junior,[123] Female / Junior / Yellow / 48Kg
124,Female,Yellow,52,13,Junior,[124] Female / Junior / Yellow / 52Kg
125,Female,Yellow,57,13,Junior,[125] Female / Junior / Yellow / 57Kg
126,Female,Yellow,63,13,Junior,[126] Female / Junior / Yellow / 63Kg
127,Female,Yellow,75,13,Junior,[127] Female / Junior / Yellow / 75Kg
128,Female,Orange,32,13,Junior,[128] Female / Junior / Orange / 32Kg
129,Female,Orange,32,13,Junior,[129] Female / Junior / Orange / 32Kg
130,Female,Orange,36,13,Junior,[130] Female / Junior / Orange / 36Kg
131,Female,Orange,36,13,Junior,[131] Female / Junior / Orange / 36Kg
132,Female,Orange,40,13,Junior,[132] Female / Junior / Orange / 40Kg
133,Female,Orange,40,13,Junior,[133] Female / Junior / Orange / 40Kg
134,Female,Orange,44,13,Junior,[134] Female / Junior / Orange / 44Kg
135,Female,Orange,44,13,Junior,[135] Female / Junior / Orange / 44Kg
136,Female,Orange,48,13,Junior,[136] Female / Junior / Orange / 48Kg
137,Female,Orange,48,13,Junior,[137] Female / Junior / Orange / 48Kg
138,Female,Orange,52,13,Junior,[138] Female / Junior / Orange / 52Kg
139,Female,Orange,52,13,Junior,[139] Female / Junior / Orange / 52Kg
140,Female,Orange,57,13,Junior,[140] Female / Junior / Orange / 57Kg
141,Female,Orange,57,13,Junior,[141] Female / Junior / Orange / 57Kg
142,Female,Orange,63,13,Junior,[142] Female / Junior / Orange / 63Kg
143,Female,Orange,63,13,Junior,[143] Female / Junior / Orange / 63Kg
144,Female,Orange,75,13,Junior,[144] Female / Junior / Orange / 75Kg
145,Female,Orange,75,13,Junior,[145] Female / Junior / Orange / 75Kg
146,Female,White,36,15,Teen,[146] Female / Teen / White / 36Kg
147,Female,White,40,15,Teen,[147] Female / Teen / White / 40Kg
148,Female,White,44,15,Teen,[148] Female / Teen / White / 44Kg
149,Female,White,48,15,Teen,[149] Female / Teen / White / 48Kg
150,Female,White,52,15,Teen,[150] Female / Teen / White / 52Kg
151,Female,White,57,15,Teen,[151] Female / Teen / White / 57Kg
152,Female,White,63,15,Teen,[152] Female / Teen / White / 63Kg
153,Female,White,68,15,Teen,[153] Female / Teen / White / 68Kg
154,Female,White,80,15,Teen,[154] Female / Teen / White / 80Kg
155,Female,Grey,36,15,Teen,[155] Female / Teen / Grey / 36Kg
156,Female,Grey,40,15,Teen,[156] Female / Teen / Grey / 40Kg
157,Female,Grey,44,15,Teen,[157] Female / Teen / Grey / 44Kg
158,Female,Grey,48,15,Teen,[158] Female / Teen / Grey / 48Kg
159,Female,Grey,52,15,Teen,[159] Female / Teen / Grey / 52Kg
160,Female,Grey,57,15,Teen,[160] Female / Teen / Grey / 57Kg
161,Female,Grey,63,15,Teen,[161] Female / Teen / Grey / 63Kg
162,Female,Grey,68,15,Teen,[162] Female / Teen / Grey / 68Kg
163,Female,Grey,80,15,Teen,[163] Female / Teen / Grey / 80Kg
164,Female,Yellow,36,15,Teen,[164] Female / Teen / Yellow / 36Kg
165,Female,Yellow,40,15,Teen,[165] Female / Teen / Yellow / 40Kg
166,Female,Yellow,44,15,Teen,[166] Female / Teen / Yellow / 44Kg
167,Female,Yellow,48,15,Teen,[167] Female / Teen / Yellow / 48Kg
168,Female,Yellow,52,15,Teen,[168] Female / Teen / Yellow / 52Kg
169,Female,Yellow,57,15,Teen,[169] Female / Teen / Yellow / 57Kg
170,Female,Yellow,63,15,Teen,[170] Female / Teen / Yellow / 63Kg
171,Female,Yellow,68,15,Teen,[171] Female / Teen / Yellow / 68Kg
172,Female,Yellow,80,15,Teen,[172] Female / Teen / Yellow / 80Kg
173,Female,Orange,36,15,Teen,[173] Female / Teen / Orange / 36Kg
174,Female,Orange,40,15,Teen,[174] Female / Teen / Orange / 40Kg
175,Female,Orange,44,15,Teen,[175] Female / Teen / Orange / 44Kg
176,Female,Orange,48,15,Teen,[176] Female / Teen / Orange / 48Kg
177,Female,Orange,52,15,Teen,[177] Female / Teen / Orange / 52Kg
178,Female,Orange,57,15,Teen,[178] Female / Teen / Orange / 57Kg
179,Female,Orange,63,15,Teen,[179] Female / Teen / Orange / 63Kg
180,Female,Orange,68,15,Teen,[180] Female / Teen / Orange / 68Kg
181,Female,Orange,80,15,Teen,[181] Female / Teen / Orange / 80Kg
182,Female,White,40,17,Junvenile,[182] Female / Junvenile / White / 40Kg
183,Female,White,40,17,Junvenile,[183] Female / Junvenile / White / 40Kg
184,Female,White,44,17,Junvenile,[184] Female / Junvenile / White / 44Kg
185,Female,White,44,17,Junvenile,[185] Female / Junvenile / White / 44Kg
186,Female,White,48,17,Junvenile,[186] Female / Junvenile / White / 48Kg
187,Female,White,48,17,Junvenile,[187] Female / Junvenile / White / 48Kg
188,Female,White,52,17,Junvenile,[188] Female / Junvenile / White / 52Kg
189,Female,White,52,17,Junvenile,[189] Female / Junvenile / White / 52Kg
190,Female,White,57,17,Junvenile,[190] Female / Junvenile / White / 57Kg
191,Female,White,57,17,Junvenile,[191] Female / Junvenile / White / 57Kg
192,Female,White,63,17,Junvenile,[192] Female / Junvenile / White / 63Kg
193,Female,White,63,17,Junvenile,[193] Female / Junvenile / White / 63Kg
194,Female,White,70,17,Junvenile,[194] Female / Junvenile / White / 70Kg
195,Female,White,70,17,Junvenile,[195] Female / Junvenile / White / 70Kg
196,Female,White,82,17,Junvenile,[196] Female / Junvenile / White / 82Kg
197,Female,White,82,17,Junvenile,[197] Female / Junvenile / White / 82Kg
198,Female,Blue,40,17,Junvenile,[198] Female / Junvenile / Blue / 40Kg
199,Female,Blue,44,17,Junvenile,[199] Female / Junvenile / Blue / 44Kg
200,Female,Blue,48,17,Junvenile,[200] Female / Junvenile / Blue / 48Kg
201,Female,Blue,52,17,Junvenile,[201] Female / Junvenile / Blue / 52Kg
202,Female,Blue,57,17,Junvenile,[202] Female / Junvenile / Blue / 57Kg
203,Female,Blue,63,17,Junvenile,[203] Female / Junvenile / Blue / 63Kg
204,Female,Blue,70,17,Junvenile,[204] Female / Junvenile / Blue / 70Kg
205,Female,Blue,82,17,Junvenile,[205] Female / Junvenile / Blue / 82Kg
206,Female,Purple,40,17,Junvenile,[206] Female / Junvenile / Purple / 40Kg
207,Female,Purple,44,17,Junvenile,[207] Female / Junvenile / Purple / 44Kg
208,Female,Purple,48,17,Junvenile,[208] Female / Junvenile / Purple / 48Kg
209,Female,Purple,52,17,Junvenile,[209] Female / Junvenile / Purple / 52Kg
210,Female,Purple,57,17,Junvenile,[210] Female / Junvenile / Purple / 57Kg
211,Female,Purple,63,17,Junvenile,[211] Female / Junvenile / Purple / 63Kg
212,Female,Purple,70,17,Junvenile,[212] Female / Junvenile / Purple / 70Kg
213,Female,Purple,82,17,Junvenile,[213] Female / Junvenile / Purple / 82Kg
214,Female,White,49,18,Adult,[214] Female / Adult / White / 49Kg
215,Female,White,49,18,Adult,[215] Female / Adult / White / 49Kg
216,Female,White,55,18,Adult,[216] Female / Adult / White / 55Kg
217,Female,White,55,18,Adult,[217] Female / Adult / White / 55Kg
218,Female,White,62,18,Adult,[218] Female / Adult / White / 62Kg
219,Female,White,62,18,Adult,[219] Female / Adult / White / 62Kg
220,Female,White,70,18,Adult,[220] Female / Adult / White / 70Kg
221,Female,White,70,18,Adult,[221] Female / Adult / White / 70Kg
222,Female,White,95,18,Adult,[222] Female / Adult / White / 95Kg
223,Female,White,95,18,Adult,[223] Female / Adult / White / 95Kg
224,Female,Blue,49,18,Adult,[224] Female / Adult / Blue / 49Kg
225,Female,Blue,55,18,Adult,[225] Female / Adult / Blue / 55Kg
226,Female,Blue,62,18,Adult,[226] Female / Adult / Blue / 62Kg
227,Female,Blue,70,18,Adult,[227] Female / Adult / Blue / 70Kg
228,Female,Blue,95,18,Adult,[228] Female / Adult / Blue / 95Kg
229,Female,Purple,49,18,Adult,[229] Female / Adult / Purple / 49Kg
